config,operation,distribution,train_range,test_range,hill_space_matched_mse,hill_space_matched_epochs,hill_space_universal_mse,hill_space_universal_epochs
normal_-3_3_to_8_10,subtract,truncated_normal,"-3.0,3.0","8.0,10.0",2.2785001183683503e-31,70,2.2785001183683503e-31,100
normal_-3_3_to_8_10,multiply,truncated_normal,"-3.0,3.0","8.0,10.0",3.358117764653429e-28,100,3.358117764653429e-28,100
normal_-3_3_to_8_10,divide,truncated_normal,"-3.0,3.0","8.0,10.0",4.7449713818851644e-32,20,4.7449713818851644e-32,100
uniform_1.1_1.2_to_1.2_6,add,uniform,"1.1,1.2","1.2,6.0",3.459031809877696e-31,100,3.459031809877696e-31,100
uniform_1.1_1.2_to_1.2_6,subtract,uniform,"1.1,1.2","1.2,6.0",6.936191785339634e-32,100,6.936191785339634e-32,100
uniform_1.1_1.2_to_1.2_6,multiply,uniform,"1.1,1.2","1.2,6.0",4.199552643866566e-30,100,4.199552643866566e-30,100
uniform_1.1_1.2_to_1.2_6,divide,uniform,"1.1,1.2","1.2,6.0",3.5336216321763547e-32,100,3.5336216321763547e-32,100
exponential_0.8_0.5,add,exponential,"0.8,0.8","0.5,0.5",6.537258454290832e-33,100,6.537258454290832e-33,100
exponential_0.8_0.5,subtract,exponential,"0.8,0.8","0.5,0.5",2.9579113661182177e-33,100,2.9579113661182177e-33,100
exponential_0.8_0.5,multiply,exponential,"0.8,0.8","0.5,0.5",2.595956354707261e-33,50,2.595956354707261e-33,100
exponential_0.8_0.5,divide,exponential,"0.8,0.8","0.5,0.5",1.361827188806842e-28,100,1.361827188806842e-28,100
uniform_-5_5_to_-10_-5,add,uniform,"-5.0,5.0","-10.0,-5.0",1.3252863207712998e-30,100,1.3252863207712998e-30,100
uniform_-5_5_to_-10_-5,subtract,uniform,"-5.0,5.0","-10.0,-5.0",1.7092789954487106e-31,100,1.7092789954487106e-31,100
uniform_-5_5_to_-10_-5,multiply,uniform,"-5.0,5.0","-10.0,-5.0",3301.516800565229,100,1.3778205127544932e-28,100
uniform_-5_5_to_-10_-5,divide,uniform,"-5.0,5.0","-10.0,-5.0",0.2020530735147102,100,4.0365565704412077e-32,100
normal_-3_3_to_8_10,add,truncated_normal,"-3.0,3.0","8.0,10.0",3.174179067383046e-30,100,3.174179067383046e-30,100
normal_-3_3_to_8_10,subtract,truncated_normal,"-3.0,3.0","8.0,10.0",2.2651809433434864e-31,70,2.2651809433434864e-31,100
normal_-3_3_to_8_10,multiply,truncated_normal,"-3.0,3.0","8.0,10.0",3.327036644987722e-28,100,3.327036644987722e-28,100
normal_-3_3_to_8_10,divide,truncated_normal,"-3.0,3.0","8.0,10.0",4.773263292768213e-32,20,4.773263292768213e-32,100
uniform_1.1_1.2_to_1.2_6,add,uniform,"1.1,1.2","1.2,6.0",3.410344300883586e-31,100,3.410344300883586e-31,100
uniform_1.1_1.2_to_1.2_6,subtract,uniform,"1.1,1.2","1.2,6.0",6.944641190265637e-32,100,6.944641190265637e-32,100
uniform_1.1_1.2_to_1.2_6,multiply,uniform,"1.1,1.2","1.2,6.0",4.221400393155695e-30,100,4.221400393155695e-30,100
uniform_1.1_1.2_to_1.2_6,divide,uniform,"1.1,1.2","1.2,6.0",3.5461028619222005e-32,100,3.5461028619222005e-32,100
